time,seconds_elapsed,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,activity,sample_id,device,sample_rate_ms
1772564241618013000,0.083012939453125,-0.1264600687246769,0.2183069430992007,-0.0562812746703624,-0.1222054734826088,0.0015403050929307,0.034434575587511,standing,standing_7,iPhone 11,10
1772564241628089900,0.09308984375,-0.1264297466516494,0.2390367196559905,-0.0033913960039615,-0.0923440083861351,-0.0129664950072765,0.0392576679587364,standing,standing_7,iPhone 11,10
1772564241638166000,0.103166015625,-0.1436889610210433,0.257898656514287,0.0344347690433263,-0.0594675429165363,-0.0352515615522861,0.047805082052946,standing,standing_7,iPhone 11,10
1772564241648243000,0.113242919921875,-0.1147603151133283,0.242886234690994,0.0334901816695928,-0.0210212357342243,-0.0587101504206657,0.0631545111536979,standing,standing_7,iPhone 11,10
1772564241658319000,0.123319091796875,-0.1689299679245799,0.2858915559418499,0.0506406384348869,0.0253017880022525,-0.0852546840906143,0.0835226401686668,standing,standing_7,iPhone 11,10
1772564241668396000,0.13339599609375,-0.1956666932785883,0.2766775912642479,0.0224427179545164,0.0769573077559471,-0.1006748750805854,0.0866274386644363,standing,standing_7,iPhone 11,10
1772564241678472000,0.143471923828125,-0.0312123729307204,0.2425783377856016,0.0313683672100305,0.1087157726287841,-0.1068797707557678,0.0578594431281089,standing,standing_7,iPhone 11,10
1772564241688549000,0.153549072265625,0.0269756486764177,0.311151084882766,-0.0435784449636936,0.1150788813829422,-0.104566253721714,0.0240606218576431,standing,standing_7,iPhone 11,10
1772564241698625000,0.163625,0.0182279863363131,0.3018796909295022,-0.166591661170125,0.1062856540083885,-0.088833101093769,0.0050104991532862,standing,standing_7,iPhone 11,10
1772564241708702200,0.1737021484375,-0.0606884966533631,0.2213544941015541,-0.2026186678409576,0.0846692696213722,-0.0662976577877998,0.0036463637370616,standing,standing_7,iPhone 11,10
1772564241718777900,0.18377783203125,-0.1252847413349896,0.2123668855257332,-0.2268213812053203,0.0514577850699424,-0.0440229810774326,0.0014758873730897,standing,standing_7,iPhone 11,10
1772564241728854800,0.193854736328125,-0.138930770175904,0.2764760773427784,-0.2132768399775028,0.0142987454310059,-0.016980480402708,0.0024562613107264,standing,standing_7,iPhone 11,10
1772564241738931000,0.203930908203125,-0.1268602470234036,0.3059837652474642,-0.2322065813750028,-0.0189460255205631,0.0149806477129459,0.010688092559576,standing,standing_7,iPhone 11,10
1772564241749008000,0.2140078125,-0.1448420035136863,0.2633369020454585,-0.2048755068570375,-0.0473924130201339,0.0444557890295982,0.0278344620019197,standing,standing_7,iPhone 11,10
1772564241759084000,0.224083984375,-0.1456581056695431,0.2034308610066771,-0.165819507753849,-0.0611013025045394,0.0566637217998504,0.0329107120633125,standing,standing_7,iPhone 11,10
1772564241769161000,0.234160888671875,-0.1061904204929247,0.198060712275654,-0.1637029539912939,-0.0688206404447555,0.0618902705609798,0.0340301804244518,standing,standing_7,iPhone 11,10
1772564241779237000,0.244237060546875,-0.0657417979875579,0.2086462575674056,-0.1020130982756614,-0.0645116493105888,0.0617499239742755,0.02616773173213,standing,standing_7,iPhone 11,10
1772564241789314000,0.25431396484375,-0.0642880555152893,0.2076252439565956,-0.0512374352842569,-0.0566903539001941,0.0555570423603057,0.0208342652767896,standing,standing_7,iPhone 11,10
1772564241799390000,0.264389892578125,-0.096653580536507,0.213048876440525,-0.0462543861746788,-0.0439431332051754,0.0398912653326988,0.0143768992274999,standing,standing_7,iPhone 11,10
1772564241809467100,0.274467041015625,-0.1287554861854761,0.2293808564297854,-0.0335813670843839,-0.0278445445001125,0.0259108673781156,0.0117609538137912,standing,standing_7,iPhone 11,10
1772564241819542800,0.284542724609375,-0.1259777285678312,0.2384773322075605,-0.0128156424313783,-0.0064995754510164,0.0145546160638332,0.0052444646134972,standing,standing_7,iPhone 11,10
1772564241829620000,0.294619873046875,-0.1189213437829166,0.2341818269707262,-0.0016442600756883,0.0203522555530071,0.0102707203477621,0.0037651723250746,standing,standing_7,iPhone 11,10
1772564241839696000,0.30469580078125,-0.1246481239318847,0.2279990466825664,0.0226695124477148,0.0393773466348648,0.012597257271409,0.0021747325081378,standing,standing_7,iPhone 11,10
1772564241849773000,0.31477294921875,-0.1239504239913076,0.2381964694395661,0.0037257425248622,0.0479556731879711,0.0117741776630282,0.0010326930787414,standing,standing_7,iPhone 11,10
1772564241859849000,0.324848876953125,-0.1259038961466402,0.2503878424927592,0.0003185644298791,0.0553049333393573,0.013037315569818,0.0038164951838552,standing,standing_7,iPhone 11,10
1772564241869926000,0.33492578125,-0.1156613190736621,0.2498338618718087,0.0194394444853067,0.0531791076064109,0.0120062334463,0.0037745088338851,standing,standing_7,iPhone 11,10
